Name,GeoPlaceName,MeanDataValue
Fine Particulate Matter (PM2.5),Bronx,10.01
Fine Particulate Matter (PM2.5),South Bronx,10.56
Fine Particulate Matter (PM2.5),Southern SI,8.73
Fine Particulate Matter (PM2.5),Northern SI,8.77
Fine Particulate Matter (PM2.5),Bayside Little Neck-Fresh Meadows,9.02
Fine Particulate Matter (PM2.5),Union Square-Lower Manhattan,11.27
Fine Particulate Matter (PM2.5),Chelsea-Village,13.05
Fine Particulate Matter (PM2.5),Greenpoint and Williamsburg (CD1),11.09
Fine Particulate Matter (PM2.5),Washington Heights,10.37
Fine Particulate Matter (PM2.5),Williamsbridge and Baychester (CD12),9.58
Fine Particulate Matter (PM2.5),Morris Park and Bronxdale (CD11),9.64
Fine Particulate Matter (PM2.5),Williamsburg - Bushwick,10.57
Fine Particulate Matter (PM2.5),Throgs Neck and Co-op City (CD10),9.50
Fine Particulate Matter (PM2.5),Coney Island - Sheepshead Bay,8.81
Fine Particulate Matter (PM2.5),Parkchester and Soundview (CD9),9.80
Fine Particulate Matter (PM2.5),Bensonhurst - Bay Ridge,9.10
Fine Particulate Matter (PM2.5),Riverdale and Fieldston (CD8),9.93
Fine Particulate Matter (PM2.5),Canarsie - Flatlands,9.03
Fine Particulate Matter (PM2.5),Kingsbridge Heights and Bedford (CD7),10.12
Fine Particulate Matter (PM2.5),East Flatbush - Flatbush,9.56
Fine Particulate Matter (PM2.5),Belmont and East Tremont (CD6),10.22
Fine Particulate Matter (PM2.5),Fordham and University Heights (CD5),10.99
Fine Particulate Matter (PM2.5),Sunset Park,10.22
Fine Particulate Matter (PM2.5),Highbridge and Concourse (CD4),10.75
Fine Particulate Matter (PM2.5),East New York,9.51
Fine Particulate Matter (PM2.5),Morrisania and Crotona (CD3),10.41
Fine Particulate Matter (PM2.5),Bedford Stuyvesant - Crown Heights,9.73
Fine Particulate Matter (PM2.5),Hunts Point and Longwood (CD2),10.7
Fine Particulate Matter (PM2.5),Downtown - Heights - Slope,10.52
Fine Particulate Matter (PM2.5),Mott Haven and Melrose (CD1),10.82
Fine Particulate Matter (PM2.5),Greenpoint,11.1
Fine Particulate Matter (PM2.5),Washington Heights and Inwood (CD12),10.32
Fine Particulate Matter (PM2.5),East Harlem (CD11),10.38
Fine Particulate Matter (PM2.5),Central Harlem (CD10),10.33
Fine Particulate Matter (PM2.5),Morningside Heights and Hamilton Heights (CD9),10.44
Fine Particulate Matter (PM2.5),Upper East Side (CD8),11.44
Fine Particulate Matter (PM2.5),Upper West Side (CD7),10.82
Fine Particulate Matter (PM2.5),Hunts Point - Mott Haven,9.79
Fine Particulate Matter (PM2.5),Stuyvesant Town and Turtle Bay (CD6),12.45
Fine Particulate Matter (PM2.5),High Bridge - Morrisania,10.62
Fine Particulate Matter (PM2.5),Midtown (CD5),14.10
Fine Particulate Matter (PM2.5),Crotona -Tremont,10.60
Fine Particulate Matter (PM2.5),Clinton and Chelsea (CD4),11.83
Fine Particulate Matter (PM2.5),Pelham - Throgs Neck,9.66
Fine Particulate Matter (PM2.5),Lower East Side and Chinatown (CD3),10.66
Fine Particulate Matter (PM2.5),Fordham - Bronx Pk,9.96
Fine Particulate Matter (PM2.5),Greenwich Village and Soho (CD2),11.48
Fine Particulate Matter (PM2.5),Northeast Bronx,9.68
Fine Particulate Matter (PM2.5),Financial District (CD1),11.63
Fine Particulate Matter (PM2.5),Kingsbridge - Riverdale,9.87
Fine Particulate Matter (PM2.5),Staten Island,8.87
Fine Particulate Matter (PM2.5),Queens,9.20
Fine Particulate Matter (PM2.5),Manhattan,11.25
Fine Particulate Matter (PM2.5),Brooklyn,9.61
Fine Particulate Matter (PM2.5),New York City,9.45